Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_2012Metric,-53.975,-26.83125,-90,bottom
C2,22pF,C_0805_2012Metric,-50.65,-24.153125,180,bottom
C3,0.1uF,C_0805_2012Metric,-24.60625,-33.734375,90,bottom
C4,1u,C_0805_2012Metric,-34.925,-14.684375,-90,bottom
C5,0.1uF,C_0805_2012Metric,-43.65625,-38.89375,0,bottom
C6,0.1uF,C_0805_2012Metric,-46.434375,-24.60625,-90,bottom
C7,10uF,C_0805_2012Metric,-26.9875,-19.05,180,bottom
D1,D_Small,D_SOD-123,-7.9375,-2.38125,90,bottom
D2,D_Small,D_SOD-123,-7.9375,-19.84375,90,bottom
D3,D_Small,D_SOD-123,-7.9375,-40.48125,90,bottom
D4,D_Small,D_SOD-123,-7.9375,-59.53125,90,bottom
D5,D_Small,D_SOD-123,-7.9375,-78.58125,90,bottom
D6,D_Small,D_SOD-123,-11.1125,-0.79375,90,bottom
D7,D_Small,D_SOD-123,-11.1125,-21.43125,90,bottom
D8,D_Small,D_SOD-123,-11.1125,-38.89375,90,bottom
D9,D_Small,D_SOD-123,-11.1125,-57.94375,90,bottom
D10,D_Small,D_SOD-123,-11.1125,-76.99375,90,bottom
D11,D_Small,D_SOD-123,-55.959375,-2.38125,90,bottom
D12,D_Small,D_SOD-123,-60.325,-19.84375,90,bottom
D13,D_Small,D_SOD-123,-63.103125,-40.48125,90,bottom
D14,D_Small,D_SOD-123,-67.46875,-59.53125,90,bottom
D15,D_Small,D_SOD-123,-60.721875,-78.58125,90,bottom
D16,D_Small,D_SOD-123,-75.009375,-0.79375,90,bottom
D17,D_Small,D_SOD-123,-84.534375,-21.43125,90,bottom
D18,D_Small,D_SOD-123,-89.296875,-38.89375,90,bottom
D19,D_Small,D_SOD-123,-98.821875,-57.94375,90,bottom
D20,D_Small,D_SOD-123,-86.51875,-76.99375,90,bottom
D21,D_Small,D_SOD-123,-93.265625,-2.38125,90,bottom
D22,D_Small,D_SOD-123,-103.584375,-19.84375,90,bottom
D23,D_Small,D_SOD-123,-108.346875,-40.48125,90,bottom
D24,D_Small,D_SOD-123,-117.871875,-59.53125,90,bottom
D25,D_Small,D_SOD-123,-113.109375,-78.58125,90,bottom
D26,D_Small,D_SOD-123,-113.109375,-0.79375,90,bottom
D27,D_Small,D_SOD-123,-122.634375,-21.43125,90,bottom
D28,D_Small,D_SOD-123,-127.396875,-38.89375,90,bottom
D29,D_Small,D_SOD-123,-136.921875,-57.94375,90,bottom
D30,D_Small,D_SOD-123,-152.796875,-76.99375,90,bottom
D31,D_Small,D_SOD-123,-132.159375,-2.38125,90,bottom
D32,D_Small,D_SOD-123,-141.684375,-19.84375,90,bottom
D33,D_Small,D_SOD-123,-146.446875,-40.48125,90,bottom
D34,D_Small,D_SOD-123,-155.971875,-59.53125,90,bottom
D35,D_Small,D_SOD-123,-151.209375,-0.79375,90,bottom
D36,D_Small,D_SOD-123,-160.734375,-21.43125,90,bottom
D37,D_Small,D_SOD-123,-165.496875,-38.89375,90,bottom
D38,D_Small,D_SOD-123,-175.021875,-57.94375,90,bottom
D39,D_Small,D_SOD-123,-170.259375,-2.38125,90,bottom
D40,D_Small,D_SOD-123,-179.784375,-19.84375,90,bottom
D41,D_Small,D_SOD-123,-184.546875,-40.48125,90,bottom
D42,D_Small,D_SOD-123,-194.071875,-59.53125,90,bottom
D43,D_Small,D_SOD-123,-201.215625,-78.58125,90,bottom
D44,D_Small,D_SOD-123,-189.309375,-0.79375,90,bottom
D45,D_Small,D_SOD-123,-198.834375,-21.43125,90,bottom
D46,D_Small,D_SOD-123,-203.596875,-38.89375,90,bottom
D47,D_Small,D_SOD-123,-213.121875,-57.94375,90,bottom
D48,D_Small,D_SOD-123,-208.359375,-2.38125,90,bottom
D49,D_Small,D_SOD-123,-217.884375,-19.84375,90,bottom
D50,D_Small,D_SOD-123,-222.646875,-40.48125,90,bottom
D51,D_Small,D_SOD-123,-232.171875,-59.53125,90,bottom
D52,D_Small,D_SOD-123,-236.934375,-76.99375,90,bottom
D53,D_Small,D_SOD-123,-227.409375,-0.79375,90,bottom
D54,D_Small,D_SOD-123,-236.934375,-21.43125,90,bottom
D55,D_Small,D_SOD-123,-241.696875,-38.89375,90,bottom
D56,D_Small,D_SOD-123,-251.221875,-57.94375,90,bottom
D57,D_Small,D_SOD-123,-265.509375,-78.58125,90,bottom
D58,D_Small,D_SOD-123,-246.459375,-2.38125,90,bottom
D59,D_Small,D_SOD-123,-255.984375,-19.84375,90,bottom
D60,D_Small,D_SOD-123,-260.746875,-40.48125,90,bottom
D61,D_Small,D_SOD-123,-270.271875,-59.53125,90,bottom
D62,D_Small,D_SOD-123,-293.6875,-76.99375,90,bottom
D63,D_Small,D_SOD-123,-265.509375,-0.79375,90,bottom
D64,D_Small,D_SOD-123,-275.034375,-21.43125,90,bottom
D65,D_Small,D_SOD-123,-279.4,-38.89375,90,bottom
D66,D_Small,D_SOD-123,-303.2125,-57.94375,90,bottom
D67,D_Small,D_SOD-123,-284.559375,-2.38125,90,bottom
D68,D_Small,D_SOD-123,-293.6875,-19.84375,90,bottom
D69,D_Small,D_SOD-123,-282.575,-40.48125,90,bottom
